iter	Passed	Remaining
745	6481	6550
746	6489	6541
747	6496	6531
748	6504	6522
749	6513	6513
750	6521	6503
751	6529	6494
752	6537	6485
753	6545	6475
754	6553	6466
755	6560	6456
756	6568	6447
757	6577	6438
758	6585	6429
759	6593	6420
760	6601	6411
761	6610	6402
762	6617	6392
763	6625	6382
764	6633	6373
765	6642	6364
766	6650	6355
767	6658	6346
768	6667	6338
769	6676	6329
770	6685	6321
771	6694	6312
772	6702	6303
773	6710	6294
774	6718	6284
775	6727	6276
776	6737	6268
777	6745	6259
778	6753	6250
779	6763	6243
780	6773	6235
781	6783	6228
782	6792	6220
783	6801	6211
784	6810	6203
785	6820	6195
786	6829	6187
787	6838	6178
788	6847	6170
789	6855	6161
790	6864	6152
791	6872	6143
792	6881	6134
793	6889	6125
794	6897	6116
795	6906	6108
796	6915	6099
797	6923	6090
798	6931	6081
799	6940	6072
800	6948	6063
801	6957	6054
802	6966	6047
803	6975	6038
804	6985	6030
805	6994	6022
806	7002	6013
807	7011	6004
808	7020	5996
809	7028	5986
810	7037	5978
811	7045	5969
812	7054	5960
813	7062	5951
814	7070	5942
815	7078	5933
816	7086	5924
817	7094	5915
818	7103	5906
819	7111	5897
820	7119	5888
821	7128	5879
822	7136	5870
823	7144	5861
824	7152	5851
825	7160	5842
826	7168	5833
827	7176	5824
828	7184	5815
829	7193	5806
830	7201	5797
831	7209	5788
832	7218	5779
833	7226	5770
834	7234	5761
835	7243	5752
836	7251	5743
837	7258	5734
838	7267	5725
839	7275	5716
840	7283	5707
841	7291	5698
842	7299	5688
843	7307	5679
844	7315	5670
845	7323	5661
846	7330	5651
847	7338	5642
848	7346	5633
849	7353	5623
850	7361	5614
851	7369	5605
852	7377	5596
853	7386	5587
854	7393	5577
855	7401	5568
856	7408	5558
857	7416	5549
858	7424	5540
859	7431	5530
860	7439	5521
861	7446	5511
862	7454	5502
863	7462	5493
864	7471	5485
865	7479	5475
866	7487	5466
867	7495	5457
868	7502	5448
869	7511	5439
870	7519	5430
871	7527	5421
872	7535	5412
873	7543	5403
874	7551	5394
875	7559	5385
876	7567	5375
877	7575	5366
878	7583	5357
879	7591	5348
880	7599	5339
881	7606	5329
882	7614	5320
883	7622	5311
884	7630	5302
885	7639	5294
886	7647	5285
887	7655	5275
888	7663	5266
889	7671	5258
890	7680	5249
891	7688	5240
892	7696	5231
893	7706	5223
894	7715	5215
895	7724	5207
896	7733	5198
897	7740	5189
898	7748	5179
899	7756	5171
900	7764	5161
901	7771	5152
902	7778	5142
903	7786	5133
904	7793	5123
905	7800	5114
906	7807	5104
907	7815	5095
908	7823	5086
909	7830	5077
910	7838	5067
911	7845	5057
912	7851	5048
913	7859	5038
914	7866	5029
915	7873	5019
916	7881	5010
917	7888	5001
918	7896	4991
919	7903	4982
920	7910	4973
921	7918	4964
922	7926	4955
923	7933	4945
924	7941	4936
925	7948	4926
926	7956	4917
927	7963	4908
928	7971	4899
929	7978	4890
930	7985	4880
931	7993	4871
932	8000	4861
933	8007	4852
934	8014	4843
935	8022	4833
936	8029	4824
937	8038	4815
938	8046	4807
939	8054	4798
940	8062	4789
941	8070	4780
942	8078	4771
943	8087	4763
944	8095	4754
945	8103	4745
946	8111	4736
947	8119	4727
948	8126	4718
949	8135	4709
950	8142	4700
951	8150	4691
952	8157	4682
953	8165	4673
954	8173	4664
955	8181	4655
956	8188	4646
957	8196	4637
958	8203	4627
959	8210	4618
960	8218	4609
961	8233	4604
962	8250	4600
963	8258	4592
964	8267	4583
965	8276	4575
966	8284	4566
967	8291	4557
968	8299	4547
969	8306	4538
970	8313	4529
971	8321	4520
972	8328	4510
973	8336	4501
974	8343	4492
975	8350	4483
976	8357	4474
977	8366	4465
978	8373	4456
979	8380	4447
980	8388	4437
981	8395	4428
982	8402	4419
983	8409	4409
984	8416	4400
985	8424	4391
986	8431	4382
987	8439	4373
988	8446	4364
989	8453	4355
990	8461	4345
991	8468	4336
992	8475	4327
993	8483	4318
994	8490	4309
995	8498	4300
996	8505	4291
997	8513	4282
998	8521	4273
999	8528	4264
1000	8535	4255
1001	8543	4245
1002	8550	4236
1003	8556	4227
1004	8564	4218
1005	8571	4209
1006	8579	4200
1007	8586	4191
1008	8593	4181
1009	8601	4172
1010	8608	4163
1011	8616	4154
1012	8623	4145
1013	8630	4136
1014	8639	4128
1015	8646	4119
1016	8654	4110
1017	8661	4101
1018	8668	4091
1019	8676	4083
1020	8684	4074
1021	8692	4065
1022	8702	4057
1023	8709	4048
1024	8718	4040
1025	8725	4030
1026	8732	4021
1027	8739	4012
1028	8746	4003
1029	8754	3994
1030	8761	3985
1031	8768	3976
1032	8775	3967
1033	8782	3958
1034	8789	3949
1035	8798	3940
1036	8805	3931
1037	8813	3922
1038	8820	3913
1039	8827	3904
1040	8834	3895
1041	8842	3886
1042	8849	3877
1043	8857	3868
1044	8864	3859
1045	8872	3850
1046	8879	3841
1047	8887	3833
1048	8894	3824
1049	8902	3815
1050	8909	3806
1051	8917	3797
1052	8924	3788
1053	8932	3779
1054	8940	3771
1055	8948	3762
1056	8956	3753
1057	8964	3745
1058	8971	3736
1059	8979	3727
1060	8986	3718
1061	8994	3709
1062	9002	3700
1063	9009	3691
1064	9017	3683
1065	9024	3674
1066	9032	3665
1067	9040	3656
1068	9048	3648
1069	9055	3639
1070	9062	3630
1071	9070	3621
1072	9078	3612
1073	9086	3604
1074	9094	3595
1075	9101	3586
1076	9109	3577
1077	9117	3569
1078	9124	3560
1079	9132	3551
1080	9140	3542
1081	9148	3534
1082	9155	3525
1083	9163	3516
1084	9170	3507
1085	9178	3499
1086	9186	3490
1087	9194	3481
1088	9201	3472
1089	9209	3464
1090	9217	3455
1091	9224	3446
1092	9233	3438
1093	9241	3429
1094	9248	3420
1095	9256	3412
1096	9264	3403
1097	9271	3394
1098	9279	3385
1099	9287	3377
1100	9294	3368
1101	9302	3359
1102	9309	3350
1103	9317	3342
1104	9324	3333
1105	9332	3324
1106	9339	3315
1107	9346	3306
1108	9353	3297
1109	9362	3289
1110	9370	3280
1111	9378	3272
1112	9386	3263
1113	9394	3255
1114	9401	3246
1115	9409	3237
1116	9416	3228
1117	9424	3220
1118	9431	3211
1119	9438	3202
1120	9445	3193
1121	9453	3184
1122	9460	3176
1123	9468	3167
1124	9476	3158
1125	9484	3150
1126	9491	3141
1127	9499	3132
1128	9508	3124
1129	9516	3116
1130	9524	3107
1131	9532	3098
1132	9539	3089
1133	9547	3081
1134	9554	3072
1135	9562	3064
1136	9570	3055
1137	9577	3046
1138	9584	3037
1139	9592	3029
1140	9600	3020
1141	9607	3011
1142	9615	3003
1143	9622	2994
1144	9630	2985
1145	9638	2977
1146	9645	2968
1147	9653	2959
1148	9662	2951
1149	9672	2943
1150	9680	2935
1151	9688	2926
1152	9697	2918
1153	9705	2910
1154	9713	2901
1155	9721	2892
1156	9729	2884
1157	9736	2875
1158	9744	2867
1159	9752	2858
1160	9760	2850
1161	9768	2841
1162	9776	2832
1163	9783	2824
1164	9790	2815
1165	9799	2807
1166	9807	2798
1167	9815	2789
1168	9823	2781
1169	9830	2772
1170	9838	2764
1171	9845	2755
1172	9853	2746
1173	9861	2738
1174	9868	2729
1175	9876	2721
1176	9884	2712
1177	9892	2703
1178	9899	2695
1179	9906	2686
1180	9914	2678
1181	9922	2669
1182	9929	2660
1183	9940	2652
1184	9947	2644
1185	9955	2635
1186	9963	2627
1187	9971	2618
1188	9979	2610
1189	9986	2601
1190	9994	2593
1191	10001	2584
1192	10008	2575
1193	10016	2567
1194	10024	2558
1195	10032	2550
1196	10040	2541
1197	10047	2532
1198	10054	2524
1199	10061	2515
1200	10068	2506
1201	10077	2498
1202	10085	2489
1203	10093	2481
1204	10101	2472
1205	10108	2464
1206	10116	2455
1207	10123	2447
1208	10131	2438
1209	10138	2430
1210	10146	2421
1211	10153	2412
1212	10161	2404
1213	10169	2395
1214	10176	2387
1215	10184	2378
1216	10192	2370
1217	10199	2361
1218	10207	2352
1219	10214	2344
1220	10222	2335
1221	10230	2327
1222	10238	2318
1223	10246	2310
1224	10254	2301
1225	10261	2293
1226	10269	2284
1227	10276	2276
1228	10284	2267
1229	10291	2259
1230	10298	2250
1231	10306	2241
1232	10314	2233
1233	10321	2224
1234	10329	2216
1235	10336	2207
1236	10344	2199
1237	10352	2190
1238	10359	2182
1239	10368	2173
1240	10376	2165
1241	10384	2157
1242	10391	2148
1243	10399	2140
1244	10406	2131
1245	10414	2122
1246	10422	2114
1247	10429	2106
1248	10437	2097
1249	10444	2088
1250	10452	2080
1251	10460	2071
1252	10467	2063
1253	10474	2054
1254	10482	2046
1255	10489	2037
1256	10497	2029
1257	10505	2020
1258	10513	2012
1259	10521	2004
1260	10529	1995
1261	10537	1987
1262	10545	1978
1263	10552	1970
1264	10560	1961
1265	10567	1953
1266	10574	1944
1267	10582	1936
1268	10589	1927
1269	10597	1919
1270	10604	1910
1271	10611	1902
1272	10619	1893
1273	10627	1885
1274	10634	1876
1275	10644	1868
1276	10655	1860
1277	10663	1852
1278	10672	1844
1279	10679	1835
1280	10687	1827
1281	10694	1818
1282	10702	1810
1283	10710	1801
1284	10717	1793
1285	10725	1784
1286	10733	1776
1287	10740	1767
1288	10748	1759
1289	10757	1751
1290	10765	1742
1291	10773	1734
1292	10780	1725
1293	10787	1717
1294	10795	1708
1295	10803	1700
1296	10811	1692
1297	10818	1683
1298	10825	1675
1299	10833	1666
1300	10840	1658
1301	10847	1649
1302	10854	1641
1303	10862	1632
1304	10869	1624
1305	10877	1615
1306	10884	1607
1307	10892	1598
1308	10900	1590
1309	10907	1582
1310	10915	1573
1311	10922	1565
1312	10930	1556
1313	10937	1548
1314	10945	1539
1315	10953	1531
1316	10960	1523
1317	10968	1514
1318	10975	1506
1319	10982	1497
1320	10989	1489
1321	10997	1480
1322	11004	1472
1323	11012	1463
1324	11019	1455
1325	11027	1447
1326	11035	1438
1327	11043	1430
1328	11050	1421
1329	11057	1413
1330	11065	1404
1331	11072	1396
1332	11080	1388
1333	11088	1379
1334	11096	1371
1335	11103	1363
1336	11110	1354
1337	11118	1346
1338	11126	1337
1339	11134	1329
1340	11141	1320
1341	11148	1312
1342	11156	1304
1343	11163	1295
1344	11171	1287
1345	11178	1279
1346	11186	1270
1347	11193	1262
1348	11201	1253
1349	11208	1245
1350	11216	1237
1351	11223	1228
1352	11231	1220
1353	11238	1211
1354	11246	1203
1355	11254	1195
1356	11261	1186
1357	11268	1178
1358	11276	1169
1359	11284	1161
1360	11292	1153
1361	11299	1144
1362	11307	1136
1363	11314	1128
1364	11321	1119
1365	11329	1111
1366	11336	1102
1367	11344	1094
1368	11351	1086
1369	11358	1077
1370	11366	1069
1371	11374	1061
1372	11382	1052
1373	11389	1044
1374	11397	1036
1375	11404	1027
1376	11412	1019
1377	11419	1011
1378	11426	1002
1379	11434	994
1380	11441	985
1381	11449	977
1382	11456	969
1383	11464	960
1384	11472	952
1385	11479	944
1386	11486	935
1387	11494	927
1388	11502	919
1389	11509	910
1390	11516	902
1391	11524	894
1392	11532	885
1393	11555	878
1394	11563	870
1395	11570	861
1396	11577	853
1397	11584	845
1398	11591	836
1399	11599	828
1400	11607	820
1401	11615	811
1402	11623	803
1403	11632	795
1404	11640	787
1405	11648	778
1406	11655	770
1407	11663	762
1408	11670	753
1409	11678	745
1410	11686	737
1411	11694	728
1412	11701	720
1413	11709	712
1414	11716	703
1415	11724	695
1416	11731	687
1417	11739	678
1418	11746	670
1419	11754	662
1420	11762	653
1421	11770	645
1422	11777	637
1423	11785	628
1424	11792	620
1425	11800	612
1426	11807	604
1427	11814	595
1428	11822	587
1429	11830	579
1430	11838	570
1431	11846	562
1432	11854	554
1433	11862	545
1434	11870	537
1435	11877	529
1436	11885	521
1437	11892	512
1438	11899	504
1439	11906	496
1440	11913	487
1441	11921	479
1442	11929	471
1443	11936	462
1444	11944	454
1445	11951	446
1446	11958	438
1447	11966	429
1448	11973	421
1449	11980	413
1450	11990	404
1451	11998	396
1452	12006	388
1453	12013	380
1454	12021	371
1455	12029	363
1456	12036	355
1457	12044	346
1458	12052	338
1459	12059	330
1460	12067	322
1461	12074	313
1462	12082	305
1463	12090	297
1464	12097	289
1465	12105	280
1466	12113	272
1467	12120	264
1468	12128	255
1469	12136	247
1470	12144	239
1471	12151	231
1472	12159	222
1473	12166	214
1474	12173	206
1475	12180	198
1476	12188	189
1477	12195	181
1478	12203	173
1479	12210	165
1480	12218	156
1481	12226	148
1482	12233	140
1483	12241	131
1484	12249	123
1485	12256	115
1486	12264	107
1487	12271	98
1488	12280	90
1489	12287	82
1490	12295	74
1491	12303	65
1492	12310	57
1493	12317	49
1494	12325	41
1495	12333	32
1496	12340	24
1497	12347	16
1498	12355	8
1499	12363	0
